,,41A - PC/JC MENU LIST,,,,,,,,APPROX. DAILY ORDER,,,,,,
,,,,,ESTIMATED,,,,,,,,,,,
,,,PRODUCTION,PLATING &,WEELY,UOM,17-Jul,18-Jul,19-Jul,20-Jul,21-Jul,22-Jul,23-Jul,24-Jul,,
Item Code,,ITEM DESCRIPTION,SITE,ASSEMBLY SITE,ORDER,,,,,,,,,,,
,,,,,,,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,,
F0700159,,CHEESE CALENDAR ROLL & ARNOTTS BISCUIT,Mascot,Mascot,269,units,41,36,41,32,37,41,41,40,,
1,ea,CHEESE CHEDDAR (BOTTEGA ROTOLO),,,269,ea,41,36,41,32,37,41,41,40,,
1,ea,BREAD ROLL,,,269,ea,41,36,41,32,37,41,41,40,,
1,ea,WATERCRACKER BISCUIT (2PC.),,,269,ea,41,36,41,32,37,41,41,40,,
F0700393,,CHEESE CALENDAR ROLL & ARNOTTS BISCUIT,Mascot,Mascot,300,units,43,43,43,42,43,43,43,43,,
1,ea,CHEESE CHEDDAR (BOTTEGA ROTOLO),,,300,ea,43,43,43,42,43,43,43,43,,
1,ea,BREAD ROLL,,,300,ea,43,43,43,42,43,43,43,43,,
1,ea,WATERCRACKER BISCUIT (2PC.),,,300,ea,43,43,43,42,43,43,43,43,,
F0300633,,MARINATED OLIVES,Mascot,Mascot,225,units,39,30,39,23,37,38,19,37,,
,,LIGURIAN OLIVES WITH PITS MARINATED IN OLIVE OIL. ORANGE PEEL.,,,,,,,,,,,,,,
30,g,THYME AND ROSEMARY,,,6.75,kg,1.17,0.90,1.17,0.69,1.11,1.14,0.57,1.11,,
F0402689,,JAPANESE RICE PARCEL,Marrickville,Mascot,77,units,14,7,14,7,7,14,14,7,,
1,ea,"JAPANESE RICE PARCEL WITH BLACK SESAME SEED, 120g ea",,,77,ea,14,7,14,7,7,14,14,7,,
F0400147,,Scrambled Egg Mixture 400ml,Mascot,Mascot,287,units,33,45,58,30,47,32,42,26,,
F0400533,,Organic Scrambled Egg Mixture 400ml,Mascot,Mascot,57,units,10,8,10,6,10,9,4,8,,
F1200988,,Bread Toast Granary 2P81,Mascot,Mascot,32,units,5,5,5,5,6,6,0,10,,
F1201086,,Bread Brioche Loaf Slice for Eggs Tstd,Mascot,Mascot,83,units,9,10,14,9,16,11,14,10,,
F1400205,,Lemon wedges 2P72/2P76,Mascot,Mascot,20,units,5,5,0,5,0,5,0,5,,
F1400825,,Lemon Cheeks supplied in 2P32,Mascot,Mascot,20,units,3,3,3,3,3,3,2,3,,
F1400740,,Dressing Palm Sugar Halal 100ml 2P81,Mascot,Mascot,20,units,3,3,3,3,3,3,2,3,,
F1400995,,Palm Sugar 400ml,Mascot,Mascot,376,units,0,5,57,53,99,82,80,74,,
F0402983,,BIRCHER MUESLI NEIL PERRY,Mascot,Mascot,0,units,0,0,0,0,0,0,0,0,,
F0403237,,BIRCHER MUESLI NEIL PERRY 2U846 787-900,Mascot,Mascot,101,units,14,13,15,14,16,17,12,13,,
F1400001,,LEMON HALVED SLICED X 8 2P72,Mascot,Mascot,2933,units,393,391,443,419,453,441,393,384,,
,,CANAPES,,,,,,,,,,,,,,
F0100385,,VOL AUVENT CREME FRAICHE FOR CAVIAR,Mascot,Mascot,23,units,3,3,3,3,3,3,2,3,,
15,ea,EA VOL AU VENT PASTRY SHELLS APPROX.3.5CM,,,345,ea,45,45,45,45,45,45,30,45,,
80,g,CRÈME FRAICHE,,,1.84,kg,0.24,0.24,0.24,0.24,0.24,0.24,0.16,0.24,,
2,ea,PLASTIC TEASPOONS,,,46,ea,6,6,6,6,6,6,4,6,,
F0100386,,KOREAN BEEF TARTARE CHIVES SESAME DRESSING,Mascot,Mascot,23,units,3,3,3,3,3,3,2,3,,
280,g,KOREAN BEEF TARTARE MIX,,,6.44,kg,1,1,1,1,1,1,1,1,,
5,g,CHIVE BATONS,,,0.12,kg,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.02,,
