Unit,Item Description,Code
 , , 
 ,ANDREWS, 
kgs,Beef Cheeks - 100 % Denuded ,1719k
kg,Beef Diced 3x3 cm,1783k
kg,Lamb Bones,2007k
each,Lamb Rack x 2 Rib Top End Frenched,2167E
kg,Sausages - Chicken & Thyme Chipolata 35 grams,9374k
each,Sausages - Veal & Chive Chipolata 35 grams,9078k
kg,Veal Mixed Bones,4013k
,BOWEN ISLAND,
ea,White Sourdough 1200 Sliced,S008SFLARGE
,BRASSERIE,
ea,Grande,110401
ea,Cantina,110500
,CUISINE CORP,
ctn(50),Lamb Kibbeh 45gm,cmed205
ctn(50),Cheese Fattayer 30gm,cmis017
,FARMER JOES,
kg,Chicken Bones - FRESH,
kg,Chicken Breast Fillet Skin Off - 160 gms, 
kg,Chicken Thigh Fillet Skinless Diced 4 x 4 cm,
kg,Chicken Wings,
kg,Chicken Thigh Fillet Skin Off,
,FETTALEY,
kg,Veal Rasher,
,FMAYER,
6 x 2.55kg,"Cannellini Beans, Mayers",DV238
4kg,"Cheese - Feta, 3 Cow",DN025
kg,"Cheese - Grana Padano, LSM",IA024
kg,"Cheese - Gruyere, Swiss Lustenberger",SS007
6 x 2.5kg,Chickpeas - Mayers,CHIC01
CTN(6 x 500g),"Lemon Zest, Frozen, Ravi ",8357
5kg,"Mustard - Dijon, Beaufor",DM115
15x500gm,"Pasta - Gnocchi, Barilla",73085
15x500gm,"Pasta - Penne, Barilla",680073
24x500gm,"Pasta - Risoni, Barilla",650026
5litres,"Vinegar Balsamic, Royal Line",IV201
5litres,"Vinegar Red Wine, Beaufor",FV301
5litres,"Vinegar Sherry, Beaufor",FV263
5litres,"Vinegar White Wine, Beaufor",FV302
,FOODLINK,
ctn(6),Aluminium Foil 44 x 150m,101125
1kg,"Arrowroot Powder, Natures Secret",100070
1.9kg,"Artichoke Stem On, Imposea",100074
ctn(4),Baking Paper 30cm x 120 m,101027
130gm,"Barramundi Skin Less Box Cut, Humty Doo",103609
5kg,"Barramundi 200/300 Frozen, Trading",100138
200gm,"Bay Leaf, Natures Secret",100157
A10,"Beetroot - Baby, Golden Circle",100202
2kg,"Bell Peppers Cheese Stuffed, Sandhurst",100203
1kg,"Bocconcini - Cherry, Premium Dairy",100271
ctn,"Bread - Baguette 11100, Bakers Maison",103172
ctn,"Bread - Naan, Mission",104756
10kg,"Breadcrumbs - Fine, Tip Top",100291
2kg,Brussel Sprouts,100309
1.5kg,"Butter - Salted, Western Star",100357
1.5kg,"Butter - Unsalted, Western Star",100365
600ml,"Buttermilk, Dairy Farmers",100371
ctn (12),Canola Spray 400gm,100435
1.5kg,"Capers - Salted, Sandhurst",100439
2kg,"Caramelized Onions, Beerenburg",103363
2kg,"Carrots - Frozen, Natures Link",100454
1kg,Cheese - Buffalo Mozzarella,103551
2kg,"Cheese - Parmesan Grated, Dirossi",100521
2kg,"Cheese - Ricotta, Paesanella",104725
2kg,"Cheese - Tasty Shreded, Dairy Link",100580
1kg,"Cheese - Tasty Sliced, Dirossi",100581
1kg,"Chickpeas - Raw, Galaxy",100603
ctn(6),Cling Wrap 33 x 600m,100733
ctn(6),Cling Wrap 44 x 600m,100734
ctn/500,Containers - Lids,102315
ctn/500,Containers - Rectangle 1000ml,101512
A12,Cornichons - Chefs Choice,100849
2kg,"Corn - Frozen, Natures Link",100841
2.86kg,"Cranberruy Sauce, Ocean Spray",100872
2L,"Cream - Double, Meander",100878
2L,"Cream - Full, Norco",101148
2L,"Cream - Sour, Brancourts",102638
1kg,"Crème Fraiche, Devondale",100890
1kg,"Crushed Wheat (Burghul) , Galaxy",100905
2kg,"Dolmades - Vine Leaves, Sardes",101006
doz,"Egg - Free Range, Sunny Queen",101039
5kg,"Flour - Corn, Sunshine",101093
12.5kg,"Flour - Plain, Mahildra",101098
12.5kg,"Flour - Self Raising, Manildra",101106
ctn(24),Go - Between (33 x 50 m),101218
2kg,"Green Peas Frozen, Natures Link",102063
120gm,Hake Fillet Skinless Box Cut,104950
3kg,"Honey, Allowrie",101313
1kg,"Horseradish Relish, Masterfoods",101317
4L,"Juice - Lemon, East Coast",101491
1.85L,Maple Syrup,101579
10kg,"Mayonnaise Whole Egg, Birch & Waite",101611
ctn(10),"Melba Mini Toast, Meulen",101648
2L,"Milk - Full Cream, Norco",101636
5kg,Mustard - Dijon,101733
1kg,"Noodles - Singapore, Hakka",101794
1kg,"Nut - Cashew, Galaxy",100461
1kg,"Nut - Macadamia, Natures Secret",101554
1kg,"Nuts - Almonds Blanched, Natures Secret",100037
1kg,"Nuts - Almonds Flakes, Natures Secret",100032
1kg,"Nuts - Hazelnut Roasted, Natures Secret",101294
1kg,"Nuts - Walnuts, Natures Secret",103090
2L,"Oil - Sesame, Amyson",101841
12kg,Onions - Frozen,102055
1kg,Passionfruit Pulp,101943
500gm,"Pasta - Risoni, Barilla",101991
500gm,"Pasta - Rigatoni, Barilla",101990
1kg,"Pearl Barley, Galaxy",102053
500gm,"Pepper - Black Ground, Natures Secret",102068
400gm,"Pepper - Black Peppercorn, Natures Secret",102069
500gm,"Pepper - Black Restaurant, Natures Secret",102072
500gm,"Pepper - White Ground, Natures Secret",103116
300ml,Pomegranite Molases,102162
1kg,"Prawn Cutlets - Cooked  18/20, Trading",102218
1kg,"Raisins, Natures Secret",102299
1kg,"Raspberries - Frozen, Tropical Fruit",102307
1kg,"Raspberries - Puree, Tropical Fruit",102309
700gm,"Quince Paste, Accor",102290
2kg,"Salt - Flakes, Pyramid",102518
14kg,"Salt, Olsons",102444
510gm,Sambal Olek,102448
1L,"Sauce - Bernaise, Knorr",100204
600ml,"Sauce - Light Soy, Pearl River",101516
2.24L,"Sauce - Hoisin, LKK",101299
5L,Sauce - Sweet Chilli,102774
150ml,"Sauce - Tabasco, Tabasco",102801
3L,"Sauce - Worcestershire, Sunshine",103146
650gm,"Seeds - Yellow Mustard, Galaxy",101750
1kg,"Seeds - White Sesame, Galaxy",102548
1kg,"Scallops 10/20, Trading",102493
"12x1,25","Soda Water, Schweppes",102626
500gm,"Spice - Chilli, powder, Natures Grocer",100647
500gm,"Spice - Cinnamon, ground, Galaxy",100722
300gm,"Spice - Cloves, Whole, Krio Krush",100736
500gm,"Spice - Coriander, Ground, Galaxy",100827
500gm,"Spice - Madras Curry Powder, Krio Krush",100932
500gm,"Spice - Cumin, Ground, Galaxy",100909
500gm,"Spice - Garlic Ground, Galaxy",101174
650gm,"Spice - Mustard Seeds Yellow, Natures Grocer",101750
500gm,"Spice - Nutmeg Ground, Natures Grocer",101802
500gm,"Spice - Paprika Smoked, Galaxy",101930
55gm,"Spice - Ras El Hanout Powder, Maloufs",102306
200gm,"Spice - Star Anise, Galaxy",102707
500gm,"Spice - Turmeric Ground, Galaxy",102980
15kg,"Sugar - Brown, CSR",102731
15kg,"Sugar - Caster, CSR",100463
500gm,"Sugar - Light Palm, Plum Blossom",101917
A10,"Tinned - Tomato Paste, Riviana",102931
4L,"Tomato - Ketchup, Heinz",102925
2kg,"Tomato - Semi Dried, Sardes",102537
10kg,"Tomato Crushed, Pomi",102917
500gm,"Truffle Paste - Black, Essential",102979
10kg,"Yoghurt - Greek Style, Brancourts",103160
750ml,Verjus - Essential,103038
3L,"Sauce - Worcestershire, Sunshine",103146
,HARVEST,
mb,Asparagus - THICK ,
box,Broccolini,
box,Brussel Sprouts,
box,Capsicum - Red,
mb,Carrot - Dutch Orange,
bag,Carrot,
mb,Carrot - Purple Heirloom,
mb,Carrot - Orange Heirloom,
heads,Cauliflower,
box,Celery,
kg,Chilli - Red Long,
box,Cucumber - Lebanese,
ctn,Eggplant - ,
kg,Fennel - Baby,
net,Garlic - Whole,
mb,Herb - Basil,
mb,Herb - Bayleaves,
mb,Herb - Chive,
mb,Herb - Coriander,
mb,Herb - Dill,
mb,Herb - Mint,
mb,Herb - Parsley,
mb,Herb - Rosemary,
mb,Herb - Tarragon,
mb,Herb - Thyme,
box,Lemon - Seedless,
box,Lettuce - Mesclun,
box,Mushroom - Button,
box,Mushroom - Field,
box,Mushroom - Portobello,
pun,Mushroom - Shimeji , 
box,Mushroom - Swiss Brown,
bag,Onion - Red whole,
kg,Parsnip,
bag,Potato - Royale blue  XXXXXLARGE,
box,Potato - Sweet,
each,Pumpkin - Butternut,
mb,Radish - Baby Red,
bch,Rainbow Chard,
pun,Red Vein Sorrel - Petitie Bouche,
box,Rocket,
mb,Shallots - Long Green,
mb,Silverbeet,
mb,Snowpea Tendrils,
box,Spinach - Baby,
box,Spinach - English,
tray,Tomato - Cherry ,
tray,Tomato - Cherry on Truss,
box,Tomato - Roma,
kg,Yellow Squash,
box,Zucchini,
,MADHOUSE,
ctn/300,Red Velvet Passionfruit Frosting,cmecrp
ctn/55,Lemon Curd Tartlet,cmetal
,,
,P&H,
kg,Beef Pastrami Sliced ,2028A
,SELECT,
kg,Cabbage - Red Shreded,XSHRCABR
kg,Cabbage - White Shreded,XSHRCAB
kg,Capsicum - Red Diced 10mm,XDCPR1
kg,Capsicum - Red Diced 5mm,XDCPR05
kg,Capsicum - Green Diced 5mm,XDCPG5
kg,Carrot - Purple Heirloom Peeled,XPDP
kg,Carrot - Orange Heirloom Peeled,XPDUT
kg,Carrot - Julienne,XJCAR
kg,Carrot - Peeled and Diced 10mm,XDCAR1
kg,Carrot - Peeled and Diced Roughly,XCRST
kg,Carrots - Dutch Peeled,XPDUT
kg,Celery - Stalks Diced 5mm,XDCLY5
kg,Eschallots - Peeled,XESCHP
kg,Eschallots - Peeled Sliced 2mm,XSLESC
kg,Garlic - Peeled,PGAR
kg,Green Beans -  Cut 70mm Tail On Top Off,xttbea8
kg,Kale Shreded 20mm,XSHRK30
kg,Mushrooms - Button Quarters,XMBQRT
kg,Mushrooms - Field Sliced 3mm,XSLMUF
kg,Mushrooms - Button Sliced 3 mm,XSLBUT
kg,Onions - Brown Peeled ,XPONK
kg,Onion Brown Sliced,XSLON
kg,Onions - Brown Peeled and Diced 5mm,XDON5
kg,Onions - Red Peeled ,XPONSK
kg,Onions - Red Peeled ans Sliced,XSLONS1
kg,Parsley - Chopped NO STEM,XCHPCON
each,Potato - Desiree 20 mmx 20mm x 80 mm Chips,XCHIP25
kg,Potato - Desiree Peeled & Diced 20mm,XDDE2
,Potato - Desiree Peeled Grated,XSHRPT
kg,Shallots - Green Sliced,XCHPSHA
kg,Tomatoes - Roma Deseeded Diced 10mm,XDTMR
,SIMON JOHNSON,
4kg,Gordal Green Olives,702295
,SKYCREST,
ctn/60,Lamb & Rosemary Pie - Halal,EAPLRS
ctn/240,Spanakopita 35 grams,EASP35S
,TWO PROVIDORES,
200g x 6 ,Brie Lighthouse Blue - King Island,cchebrikilb
1kg,Brie Seal Bay Triple Cream - King Island,cchebrikisbt1
4.4kg,"Capsicum - Red Roasted, Sandhurst",dvegcapchstA12
8 x 150g,Cheddar Cloth-Aged - Maffra,cchechemacl150
kg,"Grana Padano, Colato",cchegra16
1L,"Maple Syrup, Keejo Farm",dtopsypu
500ml,"Pomegranite Molases, Cortes",djuipome300
15L,"Red Cooking Wine, Elegre",dwincore15
1kg,"Tahini, Greenhill",dsaupastah1
