Unit,Item Description,Code
 , , 
 ,ANDREWS, 
kgs,Beef Cheeks - 100 % Denuded ,1719k
kg,Beef Diced 3x3 cm,1783k
kg,Lamb Bones,2007k
each,Lamb Rack x 2 Rib Top End Frenched,2167E
kg,Sausages - Chicken & Thyme Chipolata 35 grams,9374k
each,Sausages - Veal & Chive Chipolata 35 grams,9078k
kg,Veal Mixed Bones,4013k
,BOWEN ISLAND,
ea,White Sourdough 1200 Sliced,S008SFLARGE
,BRASSERIE,
ea,Grande,110401
ea,Cantina,110500
,CUISINE CORP,
ctn(50),Lamb Kibbeh 45gm,cmed205
ctn(50),Cheese Fattayer 30gm,cmis017
,FARMER JOES,
kg,Chicken Bones - FRESH,
kg,Chicken Breast Fillet Skin Off - 160 gms, 
kg,Chicken Thigh Fillet Skinless Diced 4 x 4 cm,
kg,Chicken Wings,
kg,Chicken Thigh Fillet Skin Off,
,FETTALEY,
kg,Veal Rasher,
,FMAYER,
6 x 2.55kg,"Cannellini Beans, Mayers",DV238
4kg,"Cheese - Feta, 3 Cow",DN025
kg,"Cheese - Grana Padano, LSM",IA024
kg,"Cheese - Gruyere, Swiss Lustenberger",SS007
6 x 2.5kg,Chickpeas - Mayers,CHIC01
CTN(6 x 500g),"Lemon Zest, Frozen, Ravi ",8357
